Well_ID;Rec_ID;Week;Sex;Gr_size;Arena;N_comp;N_females;F1_ID;N_MTP1_1;N_RD_1;F2_ID;N_MTP1_2;N_RD_2;F3_ID;N_MTP1_3;N_RD_3;F4_ID;N_MTP1_4;N_RD_4;F5_ID;N_MTP1_5;N_RD_5;F6_ID;N_MTP1_6;N_RD_6;MatingDuration_av;Matings_number;MatingPartners_number;AttemptDuration_av;Attempts_number;AttemptPartners_number;Cop_Fe_1;Cop_Fe_2;Cop_Fe_3;Cop_Fe_4;Cop_Fe_5;Cop_Fe_6;Body_mass_mg_focal;Mass_reproducibility_mg_focal;N_contact_WT;N_contact_RD;contacts_wt_ind;contacts_rd_ind;Total_N_MTP1;Total_N_Rd;m_prop_RS;f_prop_RS;Prop_MS;Total_Encounters;Treatment;gMS;m_RS_Rd_comp;m_RS_Rd_comp_full;m_TotMatings;m_MatingDuration_av;m_Attempts_number;m_Prop_MS;m_Total_Encounters;m_RS;m_cMS;m_meanCop;m_InSuc;m_feSuc;m_PS;m_pFec;m_pFec_compl;f_TotMatings;f_MatingDuration_av;f_Attempts_number;f_Prop_MS;f_Total_Encounters;f_RS;f_cMS;f_meanCop;meanCop;f_fec_pMate
61;V11;1;F;SG;Small;2;3;272;0;0;273;0;67;274;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;63.67;3;2;18.75;4;2;NA;NA;NA;NA;NA;NA;1.99;NA;105;68;35;34;0;33.5;NA;0;0.428571429;7;D = 0.67;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;63.67;4;0.428571429;7;0;2;1.5;1.5;0
62;V11;1;M;LG;Small;5;6;275;0;96;276;29;39;277;0;0;278;0;0;279;131;0;280;0;0;106;1;1;28.33;3;3;0;1;0;0;1;0;1.64;NA;210;244;35;48.8;160;27;85.56149733;NA;0.25;4;D = 1.33;2;39;39;1;106;3;0.25;4;160;2;0.5;1;0.804020101;0.804020101;99.5;99.5;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
63;V11;1;F;SG;Small;2;3;281;0;0;282;0;88;283;0;101;NA;NA;NA;NA;NA;NA;NA;NA;NA;115;2;1;16.67;6;3;NA;NA;NA;NA;NA;NA;1.91;NA;108;72;36;36;0;94.5;NA;0;0.25;8;D = 0.67;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;115;6;0.25;8;0;1;2;2;0
64;V11;1;M;LG;Small;5;6;284;0;72;285;0;0;286;0;85;287;0;0;288;0;0;289;0;0;61;1;1;13.81;11;4;0;1;0;0;0;0;1.68;NA;171;195;28.5;39;0;31.4;0;NA;0.083333333;12;D = 1.33;0;0;0;1;61;11;0.083333333;12;0;1;1;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
65;V11;1;M;LG;Small;5;6;290;0;109;291;0;66;292;0;0;293;0;0;294;0;71;295;0;0;92;1;1;20.33;3;2;0;0;0;0;1;0;2.1;2.03;150;165;25;33;0;49.2;0;NA;0.25;4;D = 1.33;0;0;71;1;92;3;0.25;4;0;1;1;0;NA;NA;NA;71;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
66;V11;1;F;SG;Small;2;3;296;0;0;297;0;115;298;0;74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;14;5;2;NA;NA;NA;NA;NA;NA;1.87;NA;191;131;63.66666667;65.5;0;94.5;NA;0;NA;5;D = 0.67;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;5;NA;5;0;0;NA;NA;NA
67;V12;1;M;LG;Large;5;6;299;0;46;300;0;0;301;0;60;302;0;0;303;86;0;304;0;0;132;1;1;22.67;3;3;0;0;0;0;1;0;2.24;NA;168;138;28;27.6;86;21.2;80.2238806;NA;0.25;4;D = 0.52;1;0;0;1;132;3;0.25;4;86;1;1;1;1;1;86;86;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
69;V12;1;M;SG;Large;2;3;308;0;0;309;0;104;310;75;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;59;1;1;13.67;3;2;0;0;1;0;0;0;2.34;NA;164;113;54.66666667;56.5;75;52;59.05511811;NA;0.25;4;D = 0.26;1;0;0;1;59;3;0.25;4;75;1;1;1;1;1;75;75;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
70;V12;1;F;LG;Large;5;6;311;0;0;312;0;0;313;0;0;314;0;84;315;0;0;316;0;95;68.5;2;1;14.5;4;2;NA;NA;NA;NA;NA;NA;1.98;NA;103;110;17.16666667;22;0;35.8;NA;0;0.333333333;6;D = 0.52;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;68.5;4;0.333333333;6;0;1;2;2;0
71;V12;1;M;LG;Large;5;6;317;0;0;318;0;108;319;13;47;320;0;0;321;3;0;322;0;54;73;2;2;7;1;1;0;0;1;0;1;0;2.26;NA;108;98;18;19.6;16;41.8;27.6816609;NA;0.666666667;3;D = 0.52;2;47;47;2;73;1;0.666666667;3;16;2;1;1;0.253968254;0.253968254;31.5;31.5;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
72;V12;1;F;SG;Large;2;3;323;98;0;324;0;75;325;0;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;64.67;6;3;27.5;2;2;NA;NA;NA;NA;NA;NA;2.01;2.05;98;73;32.66666667;36.5;98;62.5;NA;61.05919003;0.75;8;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;64.67;2;0.75;8;98;3;2;2;32.66666667
73;V13;1;M;SG;Small;2;3;326;0;131;327;0;0;328;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1;1;18.13;8;3;1;0;0;0;0;0;2.25;NA;100;102;33.33333333;51;0;65.5;0;NA;0.111111111;9;D = 0.67;0;0;131;1;65;8;0.111111111;9;0;1;1;0;NA;NA;NA;131;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
74;V13;1;M;SG;Small;2;3;329;107;0;330;0;0;331;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;121.75;4;1;10.17;12;3;4;0;0;0;0;0;1.8;NA;140;99;46.66666667;49.5;107;0;100;NA;0.25;16;D = 0.67;1;0;0;4;121.75;12;0.25;16;107;1;4;1;1;1;107;107;NA;NA;NA;NA;NA;NA;NA;NA;4;NA
75;V13;1;M;LG;Small;5;6;332;0;89;333;0;0;334;0;0;335;0;0;336;0;57;337;0;134;NA;0;0;20.5;2;2;0;0;0;0;0;0;1.76;NA;236;283;39.33333333;56.6;0;56;0;NA;NA;2;D = 1.33;0;0;0;0;NA;2;NA;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
76;V13;1;F;SG;Small;2;3;338;0;0;339;0;78;340;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;12.25;4;2;NA;NA;NA;NA;NA;NA;1.45;NA;84;109;28;54.5;0;39;NA;0;NA;4;D = 0.67;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;4;NA;4;0;0;NA;NA;NA
77;V13;1;F;LG;Small;5;6;341;0;0;342;0;100;343;0;56;344;0;78;345;0;69;346;0;59;NA;0;0;11.38;8;4;NA;NA;NA;NA;NA;NA;1.77;NA;312;193;52;38.6;0;72.4;NA;0;NA;8;D = 1.33;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;8;NA;8;0;0;NA;NA;NA
78;V13;1;F;LG;Small;5;6;347;0;0;348;0;68;349;0;44;350;0;97;351;0;90;352;0;0;NA;0;0;16.71;7;4;NA;NA;NA;NA;NA;NA;1.75;NA;272;201;45.33333333;40.2;0;59.8;NA;0;NA;7;D = 1.33;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;7;NA;7;0;0;NA;NA;NA
79;V14;1;M;LG;Large;5;6;353;0;0;354;5;68;355;0;0;356;0;0;357;0;22;358;12;40;65.25;4;4;13;4;3;0;1;0;1;1;1;1.81;1.8;123;132;20.5;26.4;17;26;39.53488372;NA;0.5;8;D = 0.52;2;108;130;4;65.25;4;0.5;8;17;4;1;0.5;0.136;0.068;62.5;36.75;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
80;V14;1;M;SG;Large;2;3;359;0;0;360;56;0;361;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;175;6;2;12.5;10;3;0;5;1;0;0;0;1.99;NA;75;64;25;32;56;0;100;NA;0.375;16;D = 0.26;1;0;0;6;175;10;0.375;16;56;2;3;0.5;1;0.5;56;28;NA;NA;NA;NA;NA;NA;NA;NA;3;NA
81;V14;1;M;SG;Large;2;3;362;0;0;363;112;0;364;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;53.44;9;3;17.53;17;3;1;3;5;0;0;0;1.82;NA;90;77;30;38.5;112;0;100;NA;0.346153846;26;D = 0.26;1;0;0;9;53.44;17;0.346153846;26;112;3;3;0.333333333;1;0.333333333;112;37.33333333;NA;NA;NA;NA;NA;NA;NA;NA;3;NA
82;V14;1;F;SG;Large;2;3;365;84;0;366;0;85;367;0;63;NA;NA;NA;NA;NA;NA;NA;NA;NA;94.67;6;3;14.19;16;2;NA;NA;NA;NA;NA;NA;2.22;NA;97;77;32.33333333;38.5;84;74;NA;53.16455696;0.272727273;22;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;94.67;16;0.272727273;22;84;3;2;2;28
83;V14;1;F;LG;Large;5;6;368;0;0;369;0;87;370;0;99;371;0;66;372;0;46;373;0;96;49;1;1;13.33;3;3;NA;NA;NA;NA;NA;NA;2.29;NA;112;121;18.66666667;24.2;0;78.8;NA;0;0.25;4;D = 0.52;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;49;3;0.25;4;0;1;1;1;0
84;V14;1;F;LG;Large;5;6;374;84;0;375;0;106;376;0;77;377;0;60;378;0;0;379;0;88;59.33;6;4;18;5;4;NA;NA;NA;NA;NA;NA;2.35;NA;94;96;15.66666667;19.2;84;66.2;NA;55.92543276;0.545454545;11;D = 0.52;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;59.33;5;0.545454545;11;84;4;1.5;1.5;21
85;V15;1;F;LG;Small;5;6;380;90;0;381;0;99;382;0;51;383;0;81;384;0;64;385;0;60;45.33;3;2;13;1;1;NA;NA;NA;NA;NA;NA;2.49;2.46;141;150;23.5;30;90;71;NA;55.90062112;0.75;4;D = 1.33;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;45.33;1;0.75;4;90;2;1.5;1.5;45
86;V15;1;M;LG;Small;5;6;386;0;113;387;0;8;388;0;0;389;0;0;390;0;29;391;0;59;NA;0;0;14.43;7;3;0;0;0;0;0;0;1.9;NA;194;148;32.33333333;29.6;0;41.8;0;NA;NA;7;D = 1.33;0;0;0;0;NA;7;NA;7;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
87;V15;1;M;SG;Small;2;3;392;0;0;393;51;21;394;0;86;NA;NA;NA;NA;NA;NA;NA;NA;NA;69;3;2;12.33;3;2;2;1;0;0;0;0;1.72;NA;126;97;42;48.5;51;53.5;48.80382775;NA;0.5;6;D = 0.67;1;21;21;3;69;3;0.5;6;51;2;1.5;0.5;0.708333333;0.354166667;72;36;NA;NA;NA;NA;NA;NA;NA;NA;1.5;NA
90;V15;1;M;SG;Small;2;3;404;0;41;405;0;0;406;0;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;90.33;3;2;18.06;18;3;1;2;0;0;0;0;1.86;NA;199;73;66.33333333;36.5;0;38.5;0;NA;0.142857143;21;D = 0.67;0;0;41;3;90.33;18;0.142857143;21;0;2;1.5;0;NA;NA;NA;20.5;NA;NA;NA;NA;NA;NA;NA;NA;1.5;NA
91;V16;1;M;LG;Large;5;6;407;8;87;408;0;80;409;0;0;410;0;0;411;0;0;412;0;0;49;1;1;15.75;4;3;1;0;0;0;0;0;1.8;1.79;163;151;27.16666667;30.2;8;33.4;19.3236715;NA;0.2;5;D = 0.52;1;87;87;1;49;4;0.2;5;8;1;1;1;0.084210526;0.084210526;95;95;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
92;V16;1;M;SG;Large;2;3;413;27;72;414;0;0;415;34;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;62.17;6;2;6;2;2;1;0;5;0;0;0;1.64;NA;82;64;27.33333333;32;61;54;53.04347826;NA;0.75;8;D = 0.26;2;108;108;6;62.17;2;0.75;8;61;2;3;1;0.360946746;0.360946746;84.5;84.5;NA;NA;NA;NA;NA;NA;NA;NA;3;NA
93;V16;1;F;SG;Large;2;3;416;0;0;417;0;67;418;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;13.33;3;3;NA;NA;NA;NA;NA;NA;1.94;NA;103;32;34.33333333;16;0;33.5;NA;0;NA;3;D = 0.26;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;3;NA;3;0;0;NA;NA;NA
94;V16;1;F;LG;Large;5;6;419;0;0;420;0;52;421;0;84;422;0;100;423;0;83;424;0;74;65;1;1;17.6;10;5;NA;NA;NA;NA;NA;NA;2.48;2.48;77;72;12.83333333;14.4;0;78.6;NA;0;0.090909091;11;D = 0.52;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;65;10;0.090909091;11;0;1;1;1;0
95;V16;1;F;SG;Large;2;3;425;121;0;426;0;0;427;0;104;NA;NA;NA;NA;NA;NA;NA;NA;NA;75.5;2;2;21;6;3;NA;NA;NA;NA;NA;NA;2;2.04;76;34;25.33333333;17;121;52;NA;69.94219653;0.25;8;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;75.5;6;0.25;8;121;2;1;1;60.5
96;V16;1;M;LG;Large;5;6;428;0;104;429;81;0;430;0;0;431;0;0;432;0;57;433;0;0;167.5;2;2;19;3;3;0;1;0;0;0;1;2.13;NA;128;168;21.33333333;33.6;81;32.2;71.55477032;NA;0.4;5;D = 0.52;1;0;0;2;167.5;3;0.4;5;81;2;1;0.5;1;0.5;81;40.5;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
97;V17;1;F;SG;Small;2;3;434;68;0;435;0;113;436;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;170;1;1;13.13;16;2;NA;NA;NA;NA;NA;NA;2.42;2.42;115;47;38.33333333;23.5;68;56.5;NA;54.6184739;0.058823529;17;D = 0.67;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;170;16;0.058823529;17;68;1;1;1;68
98;V17;1;F;LG;Small;5;6;437;123;0;438;0;93;439;0;39;440;0;78;441;0;0;442;0;79;66.33;3;3;10.67;3;2;NA;NA;NA;NA;NA;NA;2.35;NA;173;135;28.83333333;27;123;57.8;NA;68.03097345;0.5;6;D = 1.33;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;66.33;3;0.5;6;123;3;1;1;41
99;V17;1;M;SG;Small;2;3;443;0;0;444;0;57;445;128;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;57.5;2;1;8.5;6;3;0;0;2;0;0;0;2.04;NA;134;127;44.66666667;63.5;128;28.5;81.78913738;NA;0.25;8;D = 0.67;1;0;0;2;57.5;6;0.25;8;128;1;2;1;1;1;128;128;NA;NA;NA;NA;NA;NA;NA;NA;2;NA
100;V17;1;M;LG;Small;5;6;446;9;11;447;0;2;448;67;68;449;0;117;450;0;91;451;0;0;65;2;2;19.5;2;2;1;0;1;0;0;0;1.83;NA;269;230;44.83333333;46;76;57.8;56.80119581;NA;0.5;4;D = 1.33;2;79;79;2;65;2;0.5;4;76;2;1;1;0.490322581;0.490322581;77.5;77.5;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
101;V17;1;M;LG;Small;5;6;452;0;0;453;0;0;454;0;0;455;0;1;456;60;12;457;0;1;38.5;2;1;16.86;7;3;0;0;0;0;2;0;2.2;2.23;252;213;42;42.6;60;2.8;95.54140127;NA;0.222222222;9;D = 1.33;1;12;12;2;38.5;7;0.222222222;9;60;1;2;1;0.833333333;0.833333333;72;72;NA;NA;NA;NA;NA;NA;NA;NA;2;NA
102;V17;1;F;SG;Small;2;3;458;75;0;459;0;106;460;0;79;NA;NA;NA;NA;NA;NA;NA;NA;NA;83;1;1;18.46;11;3;NA;NA;NA;NA;NA;NA;2.36;2.4;87;50;29;25;75;92.5;NA;44.7761194;0.083333333;12;D = 0.67;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;83;11;0.083333333;12;75;1;1;1;75
103;V18;1;F;SG;Large;2;3;461;0;0;462;0;49;463;0;88;NA;NA;NA;NA;NA;NA;NA;NA;NA;44;1;1;21.85;13;2;NA;NA;NA;NA;NA;NA;2.53;NA;105;59;35;29.5;0;68.5;NA;0;0.071428571;14;D = 0.26;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;44;13;0.071428571;14;0;1;1;1;0
104;V18;1;M;LG;Large;5;6;464;0;65;465;0;0;466;0;0;467;0;0;468;36;0;469;0;0;62.67;3;1;16.67;9;6;0;0;0;0;3;0;1.73;1.77;180;188;30;37.6;36;13;73.46938776;NA;0.25;12;D = 0.52;1;0;0;3;62.67;9;0.25;12;36;1;3;1;1;1;36;36;NA;NA;NA;NA;NA;NA;NA;NA;3;NA
105;V18;1;M;LG;Large;5;6;470;0;0;471;0;1;472;0;65;473;0;13;474;0;0;475;0;0;NA;0;0;12;15;6;0;0;0;0;0;0;2.19;NA;97;137;16.16666667;27.4;0;15.8;0;NA;NA;15;D = 0.52;0;0;0;0;NA;15;NA;15;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;V18;1;M;LG;Large;5;6;476;87;0;477;0;106;478;0;60;479;0;0;480;0;85;481;0;88;44;1;1;17.17;6;4;1;0;0;0;0;0;1.96;NA;119;132;19.83333333;26.4;87;67.8;56.20155039;NA;0.142857143;7;D = 0.52;1;0;0;1;44;6;0.142857143;7;87;1;1;1;1;1;87;87;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
107;V18;1;F;SG;Large;2;3;482;122;0;483;0;1;484;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;49.5;4;3;22.25;4;3;NA;NA;NA;NA;NA;NA;2.7;NA;60;36;20;18;122;0.5;NA;99.59183673;0.5;8;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;49.5;4;0.5;8;122;3;1.333333333;1.333333333;40.66666667
108;V18;1;F;SG;Large;2;3;485;99;0;486;0;84;487;0;103;NA;NA;NA;NA;NA;NA;NA;NA;NA;338;3;2;0;0;0;NA;NA;NA;NA;NA;NA;2.63;NA;69;51;23;25.5;99;93.5;NA;51.42857143;1;3;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;338;0;1;3;99;2;1.5;1.5;49.5
109;V19;1;M;SG;Small;2;3;488;105;0;489;0;0;490;0;61;NA;NA;NA;NA;NA;NA;NA;NA;NA;105;1;1;17.85;13;3;1;0;0;0;0;0;1.89;NA;137;124;45.66666667;62;105;30.5;77.49077491;NA;0.071428571;14;D = 0.67;1;0;0;1;105;13;0.071428571;14;105;1;1;1;1;1;105;105;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
110;V19;1;F;SG;Small;2;3;491;0;0;492;0;89;493;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;90.5;2;2;15.56;9;3;NA;NA;NA;NA;NA;NA;2.32;2.32;98;25;32.66666667;12.5;0;44.5;NA;0;0.181818182;11;D = 0.67;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;90.5;9;0.181818182;11;0;2;1;1;0
111;V19;1;M;SG;Small;2;3;494;0;0;495;0;0;496;0;43;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;2;1;15.06;16;3;0;2;0;0;0;0;1.81;NA;130;103;43.33333333;51.5;0;21.5;0;NA;0.111111111;18;D = 0.67;0;0;0;2;62;16;0.111111111;18;0;1;2;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;2;NA
112;V19;1;M;LG;Small;5;6;497;0;53;498;0;0;499;0;0;500;0;0;501;1;98;502;0;0;39;1;1;18.33;6;6;0;0;0;1;1;0;1.72;1.69;200;178;33.33333333;35.6;1;30.2;3.205128205;NA;0.142857143;7;D = 1.33;1;98;98;1;39;6;0.142857143;7;1;1;1;1;0.01010101;0.01010101;99;99;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
113;V19;1;F;LG;Small;5;6;503;106;0;504;0;0;505;0;0;506;0;76;507;0;79;508;0;48;80;3;3;9.67;3;3;NA;NA;NA;NA;NA;NA;2.36;NA;173;125;28.83333333;25;106;40.6;NA;72.30559345;0.5;6;D = 1.33;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;80;3;0.5;6;106;3;1;1;35.33333333
114;V19;1;F;LG;Small;5;6;509;0;0;510;0;82;511;0;81;512;0;5;513;0;109;514;0;15;NA;0;0;10;6;3;NA;NA;NA;NA;NA;NA;2.2;2.23;255;195;42.5;39;0;58.4;NA;0;NA;6;D = 1.33;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;6;NA;6;0;0;NA;NA;NA
115;V20;1;F;SG;Large;2;3;515;118;0;516;0;0;517;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;78.17;6;3;25.5;2;1;NA;NA;NA;NA;NA;NA;2.37;NA;100;66;33.33333333;33;118;0;NA;100;0.75;8;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;78.17;2;0.75;8;118;3;2;2;39.33333333
116;V20;1;M;SG;Large;2;3;518;0;94;519;0;0;520;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;10.75;20;3;0;0;0;0;0;0;1.72;1.6;92;85;30.66666667;42.5;0;47;0;NA;NA;20;D = 0.26;0;0;0;0;NA;20;NA;20;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
117;V20;1;F;LG;Large;5;6;521;0;0;522;0;82;523;0;1;524;0;83;525;0;22;526;0;68;NA;0;0;14.2;5;2;NA;NA;NA;NA;NA;NA;2.09;NA;63;44;10.5;8.8;0;51.2;NA;0;NA;5;D = 0.52;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;5;NA;5;0;0;NA;NA;NA
118;V20;1;F;LG;Large;5;6;527;101;0;528;0;0;529;0;0;530;0;68;531;0;0;532;0;0;80.2;5;5;15.44;9;3;NA;NA;NA;NA;NA;NA;2.42;2.41;73;42;12.16666667;8.4;101;13.6;NA;88.13263525;0.357142857;14;D = 0.52;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;80.2;9;0.357142857;14;101;5;1;1;20.2
119;V20;1;M;LG;Large;5;6;533;0;1;534;0;0;535;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;47.17;6;2;15;6;2;4;0;2;0;0;0;2.09;NA;88;82;14.66666667;16.4;0;0.2;0;NA;0.5;12;D = 0.52;0;0;1;6;47.17;6;0.5;12;0;2;3;0;NA;NA;NA;0.5;NA;NA;NA;NA;NA;NA;NA;NA;3;NA
120;V20;1;M;SG;Large;2;3;536;0;0;537;61;20;538;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;49.5;2;1;12.25;4;2;0;2;0;0;0;0;2.01;NA;78;75;26;37.5;61;10;85.91549296;NA;0.333333333;6;D = 0.26;1;20;20;2;49.5;4;0.333333333;6;61;1;2;1;0.75308642;0.75308642;81;81;NA;NA;NA;NA;NA;NA;NA;NA;2;NA
122;V21;1;F;LG;Small;5;6;542;112;0;543;0;89;544;0;99;545;0;88;546;0;100;547;0;96;46.67;3;2;19.75;4;3;NA;NA;NA;NA;NA;NA;2.17;2.14;188;194;31.33333333;38.8;112;94.4;NA;54.26356589;0.428571429;7;D = 1.33;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;46.67;4;0.428571429;7;112;2;1.5;1.5;56
124;V21;1;F;LG;Small;5;6;554;87;0;555;0;0;556;0;77;557;0;61;558;0;27;559;0;76;111;2;1;15.29;7;4;NA;NA;NA;NA;NA;NA;2.49;2.48;334;299;55.66666667;59.8;87;48.2;NA;64.34911243;0.222222222;9;D = 1.33;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;111;7;0.222222222;9;87;1;2;2;87
125;V21;1;M;SG;Small;2;3;560;110;0;561;0;66;562;82;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;61.83;6;3;0;0;0;1;2;1;0;0;0;1.85;1.85;189;136;63;68;192;33;85.33333333;NA;1;6;D = 0.67;2;0;66;6;61.83;0;1;6;192;3;2;0.666666667;1;0.666666667;96;86;NA;NA;NA;NA;NA;NA;NA;NA;2;NA
126;V21;1;M;SG;Small;2;3;563;0;54;564;14;34;565;86;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;113.67;3;2;15.4;5;3;0;1;2;1;0;0;1.88;NA;147;115;49;57.5;100;44;69.44444444;NA;0.375;8;D = 0.67;2;34;NA;3;113.67;5;0.375;8;100;2;1.5;1;0.746268657;0.746268657;67;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;NA
128;V22;1;F;LG;Large;5;6;569;62;0;570;0;93;571;0;0;572;0;84;573;0;90;574;0;92;62;1;1;25.67;3;2;NA;NA;NA;NA;NA;NA;2.15;2.1;109;97;18.16666667;19.4;62;71.8;NA;46.33781764;0.25;4;D = 0.52;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;62;3;0.25;4;62;1;1;1;62
129;V22;1;M;LG;Large;5;6;575;0;1;576;0;72;577;45;63;578;23;32;579;0;0;580;0;99;54.33;3;2;8;3;2;0;1;1;1;0;0;2.35;NA;184;142;30.66666667;28.4;68;53.4;56.01317957;NA;0.5;6;D = 0.52;2;95;167;3;54.33;3;0.5;6;68;2;1.5;1;0.417177914;0.417177914;81.5;117.5;NA;NA;NA;NA;NA;NA;NA;NA;1.5;NA
130;V22;1;M;SG;Large;2;3;581;0;68;582;87;0;583;36;73;NA;NA;NA;NA;NA;NA;NA;NA;NA;89;2;2;14.35;17;3;2;4;4;0;0;0;1.7;NA;167;124;55.66666667;62;123;70.5;63.56589147;NA;0.105263158;19;D = 0.26;2;73;141;2;89;17;0.105263158;19;123;2;1;1;0.62755102;0.62755102;98;132;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
131;V22;1;F;LG;Large;5;6;584;92;0;585;0;68;586;0;33;587;0;74;588;0;104;589;0;0;48;2;2;14.5;4;4;NA;NA;NA;NA;NA;NA;2.26;2.25;126;88;21;17.6;92;55.8;NA;62.24627876;0.333333333;6;D = 0.52;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;48;4;0.333333333;6;92;2;1;1;46
