Well_ID;Rec_ID;Week;Sex;Gr_size;Arena;N_comp;N_females;F1_ID;N_MTP1_1;N_RD_1;F2_ID;N_MTP1_2;N_RD_2;F3_ID;N_MTP1_3;N_RD_3;F4_ID;N_MTP1_4;N_RD_4;F5_ID;N_MTP1_5;N_RD_5;F6_ID;N_MTP1_6;N_RD_6;MatingDuration_av;Matings_number;MatingPartners_number;AttemptDuration_av;Attempts_number;AttemptPartners_number;Cop_Fe_1;Cop_Fe_2;Cop_Fe_3;Cop_Fe_4;Cop_Fe_5;Cop_Fe_6;Body_mass_mg_focal;Mass_reproducibility_mg_focal;N_contact_WT;N_contact_RD;contacts_wt_ind;contacts_rd_ind;Total_N_MTP1;Total_N_Rd;m_prop_RS;f_prop_RS;Prop_MS;Total_Encounters;Treatment;gMS;m_RS_Rd_comp;m_RS_Rd_comp_full;m_TotMatings;m_MatingDuration_av;m_Attempts_number;m_Prop_MS;m_Total_Encounters;m_RS;m_cMS;m_meanCop;m_InSuc;m_feSuc;m_PS;m_pFec;m_pFec_compl;f_TotMatings;f_MatingDuration_av;f_Attempts_number;f_Prop_MS;f_Total_Encounters;f_RS;f_cMS;f_meanCop;meanCop;f_fec_pMate
19;V04;1;F;SG;Large;2;3;82;109;0;83;0;87;84;0;75;NA;NA;NA;NA;NA;NA;NA;NA;NA;66.3;6;3;14.75;8;3;NA;NA;NA;NA;NA;NA;2.1;NA;74;39;24.66666667;19.5;109;81;NA;57.36842105;0.428571429;14;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;66.3;8;0.428571429;14;109;3;2;2;36.33333333
20;V04;1;F;LG;Large;5;6;85;105;0;86;0;0;87;0;10;88;0;0;89;0;84;90;0;65;66.5;2;2;15.75;4;4;NA;NA;NA;NA;NA;NA;2.66;NA;169;92;28.16666667;18.4;105;31.8;NA;76.75438596;0.333333333;6;D = 0.52;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;66.5;4;0.333333333;6;105;2;1;1;52.5
21;V04;1;M;LG;Large;5;6;91;0;80;92;0;91;93;0;102;94;0;86;95;0;0;96;0;91;NA;0;0;16.25;4;3;0;0;0;0;0;0;2.06;NA;149;180;24.83333333;36;0;90;0;NA;NA;4;D = 0.52;0;0;0;0;NA;4;NA;4;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;V04;1;M;SG;Large;2;3;97;0;0;98;0;0;99;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;12.75;4;2;0;0;0;0;0;0;1.54;NA;72;82;24;41;0;0;NA;NA;NA;4;D = 0.26;0;0;0;0;NA;4;NA;4;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;V04;1;F;SG;Large;2;3;100;137;0;101;0;96;102;0;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;85;3;2;6;1;1;NA;NA;NA;NA;NA;NA;1.99;NA;117;73;39;36.5;137;67.5;NA;66.99266504;0.75;4;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;85;1;0.75;4;137;2;1.5;1.5;68.5
24;V04;1;M;LG;Large;5;6;103;72;0;104;0;24;105;0;0;106;0;91;107;0;142;108;0;0;37;1;1;10.6;5;4;1;0;0;0;0;0;2.22;NA;124;153;20.66666667;30.6;72;51.4;58.34683955;NA;0.166666667;6;D = 0.52;1;0;0;1;37;5;0.166666667;6;72;1;1;1;1;1;72;72;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
25;V05;1;F;LG;Small;5;6;109;0;0;110;0;0;111;0;0;112;0;80;113;0;50;114;0;81;NA;0;0;14.75;4;3;NA;NA;NA;NA;NA;NA;1.82;NA;189;138;31.5;27.6;0;42.2;NA;0;NA;4;D = 1.33;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;4;NA;4;0;0;NA;NA;NA
26;V05;1;F;LG;Small;5;6;115;0;0;116;0;85;117;0;89;118;0;66;119;0;100;120;0;77;71;2;2;26.25;8;4;NA;NA;NA;NA;NA;NA;1.92;NA;205;174;34.16666667;34.8;0;83.4;NA;0;0.2;10;D = 1.33;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;71;8;0.2;10;0;2;1;1;0
27;V05;1;M;SG;Small;2;3;121;0;97;122;0;77;123;0;85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;12;1;1;0;0;0;0;0;0;1.75;NA;78;78;26;39;0;129.5;0;NA;NA;1;D = 0.67;0;0;0;0;NA;1;NA;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;V05;1;M;SG;Small;2;3;124;0;0;125;0;0;126;0;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;49;2;1;10.25;4;3;0;2;0;0;0;0;1.94;1.94;73;82;24.33333333;41;0;34.5;0;NA;0.333333333;6;D = 0.67;0;0;0;2;49;4;0.333333333;6;0;1;2;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;2;NA
